Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
158,158,23/01/2022,65,2,3,3,1,2.25,36.29,34.12,,OUT,N/A,small,16.0905,20.1995,18.0295,2.17,3,0.03
159,159,23/01/2022,85,9,17,18,17,15.25,136.6,130.84,,OUT,N/A,big,32.334,104.266,98.506,5.76,18,0.18
160,160,23/01/2022,80,16,27,11,15,17.25,154.8,134.5,,IN,AM,big,32.334,122.466,102.166,20.3,27,0.27
161,161,23/01/2022,25,4,2,1,2,2.25,32.43,31.1,,OUT,N/A,small,16.0905,16.3395,15.0095,1.33,4,0.04
162,162,23/01/2022,95,23,33,18,16,22.5,366.9,348.69,,OUT,N/A,big,32.334,334.566,316.356,18.21,33,0.33
163,163,23/01/2022,20,0,5,4,0,2.25,36.12,34.57,,OUT,N/A,small,16.0905,20.0295,18.4795,1.55,5,0.05
164,164,23/01/2022,40,3,26,2,0,7.75,48.65,47.47,,OUT,N/A,small,16.0905,32.5595,31.3795,1.18,26,0.26
165,165,23/01/2022,90,12,18,23,12,16.25,159.76,151.4,,IN,AE,big,32.334,127.426,119.066,8.36,23,0.23
166,166,23/01/2022,20,6,0,7,7,5,38.53,37.55,,OUT,N/A,small,16.0905,22.4395,21.4595,0.98,7,0.07
167,167,23/01/2022,55,4,8,21,9,10.5,54.33,52.84,,OUT,N/A,small,16.0905,38.2395,36.7495,1.49,21,0.21
168,168,24/01/2022,90,16,18,21,7,15.5,227.34,223.81,,OUT,N/A,big,32.334,195.006,191.476,3.53,21,0.21
169,169,24/01/2022,70,6,4,15,4,7.25,65.23,64.15,,OUT,N/A,big,32.334,32.896,31.816,1.08,15,0.15
170,170,24/01/2022,35,1,7,0,0,2,69.4,68.78,,OUT,N/A,big,32.334,37.066,36.446,0.62,7,0.07
171,171,24/01/2022,90,28,29,22,27,26.5,282.64,277.51,,OUT,N/A,big,32.334,250.306,245.176,5.13,29,0.29
172,172,24/01/2022,100,21,20,21,22,21,190.43,189.58,,IN,AM,big,32.334,158.096,157.246,0.85,22,0.22
173,173,24/01/2022,100,21,21,19,37,24.5,208.23,208.41,,OUT,N/A,big,32.334,175.896,176.076,-0.18,37,0.37
174,174,24/01/2022,15,4,0,3,0,1.75,45.35,45.14,,OUT,N/A,big,32.334,13.016,12.806,0.21,4,0.04
175,175,24/01/2022,100,49,27,42,39,39.25,342.78,330.63,,IN,Unknown,big,32.334,310.446,298.296,12.15,49,0.49
176,176,24/01/2022,90,9,23,20,23,18.75,123.05,118.84,,IN,AE,big,32.334,90.716,86.506,4.21,23,0.23
177,177,24/01/2022,40,5,3,7,5,5,43.05,42.92,,OUT,N/A,small,16.0905,26.9595,26.8295,0.13,7,0.07
178,178,26/01/2022,35,2,4,1,6,3.25,31.68,31.84,,OUT,N/A,small,16.0905,15.5895,15.7495,-0.16,6,0.06
179,179,26/01/2022,40,22,15,36,46,29.75,122.3,120.39,,OUT,N/A,big,32.334,89.966,88.056,1.91,46,0.46
180,180,26/01/2022,90,16,14,15,17,15.5,184.35,180.72,,IN,AE,big,32.334,152.016,148.386,3.63,17,0.17
181,181,26/01/2022,50,17,26,2,16,15.25,87.66,86.32,,OUT,N/A,big,32.334,55.326,53.986,1.34,26,0.26
182,182,26/01/2022,100,36,24,23,38,30.25,200.09,190.82,,IN,AE,big,32.334,167.756,158.486,9.27,38,0.38
183,183,26/01/2022,20,3,5,7,8,5.75,77.23,76.34,,OUT,N/A,big,32.334,44.896,44.006,0.89,8,0.08
184,184,26/01/2022,90,10,7,15,32,16,113.07,110.94,,IN,AE,big,32.334,80.736,78.606,2.13,32,0.32
185,185,26/01/2022,40,26,8,25,2,15.25,84.43,83.49,,OUT,N/A,big,32.334,52.096,51.156,0.94,26,0.26
186,186,26/01/2022,55,3,3,1,16,5.75,66.17,64.52,,OUT,N/A,big,32.334,33.836,32.186,1.65,16,0.16
187,187,26/01/2022,10,1,3,2,0,1.5,40.45,39.77,,OUT,N/A,big,32.334,8.116,7.436,0.68,3,0.03
188,188,27/01/2022,70,4,1,5,4,3.5,67.46,49.45,,OUT,N/A,small,16.0905,51.3695,33.3595,18.01,5,0.05
190,190,27/01/2022,50,5,3,4,3,3.75,61.86,45.7,,OUT,N/A,small,16.0905,45.7695,29.6095,16.16,5,0.05
191,191,27/01/2022,15,2,0,1,2,1.25,48.05,37.96,,OUT,N/A,big,32.334,15.716,5.626,10.09,2,0.02
